date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:31:07	115/115	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Apr%202022%2006:31:08%20GMT	https://demo.dashboardpack.com/robots.txt		(from )
13:31:08	43304/43304	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2011:55:04%20GMT	https://demo.dashboardpack.com/sales-html/	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/index.html	(from )
13:31:08	155851/155851	---MCZ	200	added ('OK')	text/css	etag:W/%22624ab490-260cb%22	https://demo.dashboardpack.com/sales-html/css/bootstrap1.min.css	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/css/bootstrap1.min.css	(from https://demo.dashboardpack.com/sales-html/)
13:31:08	13847/13847	---MCZ	200	added ('OK')	text/css	etag:W/%225fbd3763-4033%22	https://demo.dashboardpack.com/sales-html/vendors/themefy_icon/themify-icons.css	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/vendors/themefy_icon/themify-icons.css	(from https://demo.dashboardpack.com/sales-html/)
13:31:08	5238/5238	---MCZ	200	added ('OK')	text/css	etag:W/%225fbd37ea-1a6e%22	https://demo.dashboardpack.com/sales-html/vendors/niceselect/css/nice-select.css	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/vendors/niceselect/css/nice-select.css	(from https://demo.dashboardpack.com/sales-html/)
13:31:09	3261/3261	---MCZ	200	added ('OK')	text/css	etag:W/%22624ab490-1342%22	https://demo.dashboardpack.com/sales-html/vendors/owl_carousel/css/owl.carousel.css	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/vendors/owl_carousel/css/owl.carousel.css	(from https://demo.dashboardpack.com/sales-html/)
13:31:09	54081/54081	---MCZ	200	added ('OK')	text/css	etag:W/%22624ab490-d341%22	https://demo.dashboardpack.com/sales-html/vendors/gijgo/gijgo.min.css	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/vendors/gijgo/gijgo.min.css	(from https://demo.dashboardpack.com/sales-html/)
13:31:09	55970/55970	---MCZ	200	added ('OK')	text/css	etag:W/%22624ab490-daa2%22	https://demo.dashboardpack.com/sales-html/vendors/font_awesome/css/all.min.css	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/vendors/font_awesome/css/all.min.css	(from https://demo.dashboardpack.com/sales-html/)
13:31:09	1769/1769	---MCZ	200	added ('OK')	text/css	etag:W/%22624ab490-921%22	https://demo.dashboardpack.com/sales-html/vendors/tagsinput/tagsinput.css	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/vendors/tagsinput/tagsinput.css	(from https://demo.dashboardpack.com/sales-html/)
13:31:09	8152/8152	---MCZ	200	added ('OK')	text/css	etag:W/%225fbd3718-b906%22	https://demo.dashboardpack.com/sales-html/vendors/datepicker/date-picker.css	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/vendors/datepicker/date-picker.css	(from https://demo.dashboardpack.com/sales-html/)
13:31:10	6067/6067	---MCZ	200	added ('OK')	text/css	etag:W/%22624ab490-1a33%22	https://demo.dashboardpack.com/sales-html/vendors/vectormap-home/vectormap-2.0.2.css	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/vendors/vectormap-home/vectormap-2.0.2.css	(from https://demo.dashboardpack.com/sales-html/)
13:31:10	2833/2833	---MCZ	200	added ('OK')	text/css	etag:W/%225fbd374e-5ebe%22	https://demo.dashboardpack.com/sales-html/vendors/scroll/scrollable.css	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/vendors/scroll/scrollable.css	(from https://demo.dashboardpack.com/sales-html/)
13:31:10	14907/14907	---MCZ	200	added ('OK')	text/css	etag:W/%22624ab490-3a3b%22	https://demo.dashboardpack.com/sales-html/vendors/datatable/css/jquery.dataTables.min.css	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/vendors/datatable/css/jquery.dataTables.min.css	(from https://demo.dashboardpack.com/sales-html/)
